Genus,Species,N,Tmax,max_metric,error,error measure,Multiple measures,max_interval_after_LT0,Tmax_2,max_metric_2,error,error measure,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N,tmin,min_metric,error,error_type,Multiple measures_min,min_interval_after_LT0,N,tmin_2,min_metric_2,error,error_type,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality of UTNZ
Prochilodus,scrofa,10,35.7,ctmax,,,N,,,,,,,20,0.1,-22,-43.5,0,Barrionuevo_&_Fernandes_1995,2,10,8.23,ctmin,,,N,,,,,,,,20,0.1,-22,-43.5,0,Barrionuevo_&_Fernandes_1995,2,Chordata,Actinopteri,Characiformes,Prochilodontidae,
Lepomis,gibbosus,24,35.1,ctmax,,,Y,,,,,,,20,0.3,46.2,-119,,Becker_&_Genoway_1979,2,20,1.7,ctmin,,,Y,,,,,,,,10,0.0167,46.2,-119,,Becker_et_al_1977,1,Chordata,Actinopteri,Perciformes,Centrarchidae,
Cyprinodon,variegatus,100,44.2,ctmax,0.29,SD,Y,,,,,,,21,0.1,26,-97.15,0,Bennett_&_Beitinger_1997,1,70,6.9,ctmin,,,Y,,,,,,,,20,0.1,26,-97.15,0,Bennett_&_Beitinger_1997,1,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,
Oncorhynchus,keta,,23.2,LT50,,,N,,,,,,,20,,52,-128.9,0,Brett&Alderdice1958_in_Brett_1970,1,,-0.7,LT50,,,N,,,,,,,,5,,52,-128.9,0,Brett&Alderdice1958_in_Brett_1970,1,Chordata,Actinopteri,Salmoniformes,Salmonidae,
Oncorhynchus,nerka,,21.5,LT50,,,N,,,,,,,20,,52,-128.9,0,Brett&Alderdice1958_in_Brett_1970,1,,-0.7,LT50,,,N,,,,,,,,5,,52,-128.9,0,Brett&Alderdice1958_in_Brett_1970,1,Chordata,Actinopteri,Salmoniformes,Salmonidae,
Oncorhynchus,kisutch,60,27.5,LT50,,,N,,,,,,,,,49.4,-123.4,0,Brett_1952,1,60,0,LT50,,,N,,,,,,,,,,49.4,-123.4,0,Brett_1952,1,Chordata,Actinopteri,Salmoniformes,Salmonidae,
Oncorhynchus,tshawytscha,60,28,LT50,,,N,,,,,,,,,48.1,-123.1,0,Brett_1952,1,60,0,LT50,,,N,,,,,,,,,,48.1,-123.1,0,Brett_1952,1,Chordata,Actinopteri,Salmoniformes,Salmonidae,
Cyprinodon,dearborni,,35.7,LT50,,,N,,,,,,,,,18,-64.5,0,Brett_1970,1,,15,LT50,,,N,,,,,,,,,,18,-64.5,0,Brett_1970,1,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,
Rivulus,marmoratus,,35.7,LT50,,,N,,,,,,,,,18,-64.5,0,Brett_1970,1,,15,LT50,,,N,,,,,,,,,,18,-64.5,0,Brett_1970,1,Chordata,Actinopteri,Cyprinodontiformes,Rivulidae,
Fundulus,heteroclitus,20,40.5,ctmax,0.29,SD,N,,,,,,,24,0.3,37.16,-76.5,0,Bulger_&_Tremaine_1985,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,
Poeciliopsis,occidentalis,12,38.4,ctmax,,,Y,,,,,,,25,0.3,33,-111,1000,Carveth_et_al_2006,1,26,4.8,ctmin,,,N,,,,,,,,25,0.0035,25,-107.5,150,Bulger_&_Schultz_1982,1,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,
