Reference,Species,Taxonomic group,Latitude or elevation,Warm edge,Local extinction,Latitude,Habitat,Geographic region,DateStart,DateEnd,Method,Mobility,Include,Include.reason,Notes
Pitt et al. 2010,Actinia tenebrosa,Other invertebrates,Latitude,Expansion,Persisting,-42,Marine,Australia,1955,2007,"Two times, many locations",sessile,TRUE,,Intertidal
Pitt et al. 2010,Patiriella calcar,Other invertebrates,Latitude,Expansion,Persisting,-42,Marine,Australia,1955,2007,"Two times, many locations",mobile,TRUE,,Intertidal
Pitt et al. 2010,Austrocochlea constricta,Other invertebrates,Latitude,Contraction,Local extinction,-41,Marine,Australia,1955,2007,"Two times, many locations",mobile,TRUE,,Intertidal
Pitt et al. 2010,Notoacmea mayi,Other invertebrates,Latitude,Contraction,Local extinction,-41,Marine,Australia,1955,2007,"Two times, many locations",mobile,TRUE,,Intertidal
Pitt et al. 2010,Xenostrobus pulex,Other invertebrates,Latitude,Contraction,Local extinction,-41,Marine,Australia,1955,2007,"Two times, many locations",sessile,TRUE,,Intertidal
Pitt et al. 2010,Patiriella exigua,Other invertebrates,Latitude,Contraction,Local extinction,-41,Marine,Australia,1955,2007,"Two times, many locations",mobile,TRUE,,Intertidal
Beaugrand et al. 2009,Cold-temperate mixed-water species,Other invertebrates,Latitude,Contraction,Local extinction,43,Marine,Europe,1960,1999,"Many times, many locations",mobile,TRUE,,
Beaugrand et al. 2009,Subarctic species,Other invertebrates,Latitude,Contraction,Local extinction,50,Marine,Europe,1960,1999,"Many times, many locations",mobile,TRUE,,
Beaugrand et al. 2009,Shallow water species assemblage,Other invertebrates,Latitude,Contraction,Local extinction,51,Marine,Europe,1960,1999,"Many times, many locations",mobile,TRUE,,
Beaugrand et al. 2009,Continental shelf species assemblage,Other invertebrates,Latitude,Contraction,Local extinction,43,Marine,Europe,1960,1999,"Many times, many locations",mobile,TRUE,,
Beaugrand et al. 2009,Arctic species assemblage,Other invertebrates,Latitude,Contraction,Local extinction,60,Marine,Europe,1960,1999,"Many times, many locations",mobile,TRUE,,
Perry et al. 2005,Anarhichas lupus,Fish,Latitude,Contraction,Local extinction,58,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Glyptocephalus cynoglossus,Fish,Latitude,Contraction,Local extinction,58,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Lepidorhombus boscii,Fish,Latitude,Contraction,Local extinction,61,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Micromesistius poutassou,Fish,Latitude,Contraction,Local extinction,60,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Molva molva,Fish,Latitude,Contraction,Local extinction,59,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Trisopterus esmarkii,Fish,Latitude,Contraction,Local extinction,59,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Gadiculus argenteus,Fish,Latitude,Stable,Persisting,60,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Hippoglossoides platessoides,Fish,Latitude,Stable,Persisting,58,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Leucoraja naevus,Fish,Latitude,Stable,Persisting,58,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
Perry et al. 2005,Melanogrammus aeglefinus,Fish,Latitude,Stable,Persisting,58,Marine,Europe,1977,2001,"Many times, many locations",mobile,TRUE,,Mean latitude instead of lat of warm edge
