Species3,kingdom,subkingdom,infrakingdom,superphylum,phylum,subphylum,infraphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,subgenus,species
Agrodiaetus amanda,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Lycaenidae,,,Agrodiaetus,,Agrodiaetus amanda
Apatura ilia,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Nymphalidae,,,Apatura,,Apatura ilia
Apatura iris,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Nymphalidae,,,Apatura,,Apatura iris
Aphantopus hyperantus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Nymphalidae,,,Aphantopus,,Aphantopus hyperantus
Aporia crataegi,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Pieridae,,,Aporia,,Aporia crataegi
Araschnia levana,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Nymphalidae,,,Araschnia,,Araschnia levana
Argynnis adippe,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Nymphalidae,,,Argynnis,,Argynnis adippe
Argynnis paphia,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Nymphalidae,,,Argynnis,,Argynnis paphia
Aricia artaxerxes,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Lycaenidae,,,Aricia,,Aricia artaxerxes
Austrocochlea constricta,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,,,Gastropoda,Prosobranchia,,,Archaeogastropoda,,,,Trochidae,Monodontinae,,Austrocochlea,,Austrocochlea constricta
Brenthis daphne,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Nymphalidae,,,Brenthis,,Brenthis daphne
Brenthis ino,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Nymphalidae,,,Brenthis,,Brenthis ino
Hamearis lucina,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Riodinidae,,,Hamearis,,Hamearis lucina
Lasiommata maera,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Nymphalidae,,,Lasiommata,,Lasiommata maera
Lycaena tityrus,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Lycaenidae,Lycaeninae,Lycaenini,Lycaena,,Lycaena tityrus
Maniola jurtina,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Nymphalidae,,,Maniola,,Maniola jurtina
Melanargia galathea,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Hexapoda,,,Insecta,Pterygota,Neoptera,Holometabola,Lepidoptera,,,Papilionoidea,Nymphalidae,,,Melanargia,,Melanargia galathea
