Genus	Species	ctmax_ARR_GS
Ambystoma	jeffersonianum	0.08
Anolis	carolinensis	0.16
Anolis	distichus	0.2
Anolis	sagrei	0.14
Apogon	novemfasciatus	0.39
Bathygobius	fuscus	0.14
Bathygobius	sp.1	0.17
Bathygobius	sp.2	0.17
Bothrometopus	brevis	0.05
Bothrometopus	elongatus	0.1
Bothrometopus	gracilipes	-0.45
Bothrometopus	parvulus_parvulus	0.01
Bothrometopus	randi	0.09
Bufo	alvarius	0.18
Bufo	boreas	0.06
Bufo	canorus	0.14
Bufo	cognatus	0.18
Bufo	debilis	0.15
Bufo	exsul	0.08
Bufo	haemititicus	0.1
Bufo	marinus	0.21
Bufo	marmoreus	0.09
Bufo	mazatlanensis	0.15
Bufo	nelsoni	0.04
Bufo	woodhousii_fowleri	0.16
Chirodica	chalcoptera	-0.13
Cophixalis	ornatus	0.11
Crangon	crangon	0.28
Crinia	laevis	0.23
Crinia	signifera	0.21
Crinia	victoriana	0.13
Cyprinodon	dearborni	0.23
Cyprinodon	variegatus	0.29
Dascyllus	aruanus	0.39
Dasyatis	sabina	0.31
Desmognathus	fuscus	0.19
Desmognathus	ochrophaeus	0.28
Desmognathus	quadramaculatus	0.31
Dicentrarchus	labrax	0.28
Drosophila	putrida	0.05
Ectemnorhinus	marioni	0.01
Ectemnorhinus	similis	0.03
Ectemnorhinus	viridis	-0.05
Eleutherodactylus	coqui	0.03
Eremias	argus	0.04
Eremias	brenchleyi	0.2
Eremias	multiocellata	0.24
Eurycea	bislineata	0.23
Glossina	pallidipes	0.03
Halmaeusa	atriceps	0.12
Hodotermes	mossambicus	0.16
Hyla	walkeri	0.12
Leptodactylus	melanotus	0.56
Libellula	sp.1	0.23
Limnodynastes	dorsalis	0.22
Limnodynastes	peroni	0.18
Limnodynastes	tasmaniensis	0.18
Linepithema	humile	0.08
Lithobates	sylvatica	0.13
Litoria	gracilenta	0.09
Notophthalmus	viridescens	0.21
Pachycara	brachycephalum	0.46
Pachydiplax	longipennis	0.15
Philoria	frosti	0.08
Phrynosoma	cornutum	0.06
Pseudacris	regilla	0.19
Pseudacris	triseriata	0.07
Pseudophryne	bibroni	0.29
Pseudophryne	corroboree	0.16
Pternohyla	fodiens	0.16
Rana	boyleri	0.12
Rana	cascadae	0.12
Rana	catesbeiana	0.11
Rana	clamitans	0.31
Rana	palmipes	0.17
Rana	palustris	0.09
Rana	pipiens	0.21
Rana	pretiosa	0.12
Rana	virgatipes	0.11
Saduria	entomon	0.11
Sceloporus	occidentalis	-0.01
Smilisca	baudini	0.29
Solenopsis	invicta	0.1
Takydromus	formosanus	0.03
Takydromus	hsuehshanensis	0.05
Takydromus	septentrionalis	0.15
Takydromus	stejnegeri	0.05
Thamnophis	elegans	0.03
Trematomus	bernacchii	0.24
Trematomus	borchgrevinki	0.54
Trematomus	hansoni	0.39
Trimeresurus	gracilis	0.04
Trimeresurus	stejnegeri	0.04
Urosaurus	ornatus	0.13
Xantusia	vigilis	0.2
