Genus,Species,tmax_metric,tmax_acc,tmax_acc_days,tmax_acc_type,tmax_col_time_if_field_fresh,tmax,lat,lon,no_NicheMapR_data,altitude,Phylum,Class,Order,Family,habitat,citation,citation_details_or_paper_in_which_data_were_compiled,notes.2017
Kuhlia,sandvicensis,crit,30,12,lab,,40.3,21.3,-158,,0,Chordata,Actinopterygii,Perciformes,Kuhliidae,marine,Sylvester et al 1975,J. Fish Biol. (1975) 7 257-262,Could not find previous record with LTs (Tester and Takata) but I found this paper with the same species; and2 other
Mugil,cephalus,crit,30,12,lab,,41.8,21.3,-158,,0,Chordata,Actinopterygii,Mugiliformes _‹_ Mugilidae _‹_ Moolgarda,Mugilidae,marine,Sylvester et al 1975,J. Fish Biol. (1975) 7 257-262,new
Boreogadus,saida,leth,1.75,90,field_fresh,summer and autumn,15,71,-156.47,,0,Chordata,Actinopterygii,Gadiformes,Gadidae,marine,Scholander_et_al_1953,Sunday_et_al_PRSB_2011,removed tmin - artificial as far as I can tell
Gammarus,locusta,leth,1.75,90,field_fresh,,25.02,71,-156.47,,0,Arthropoda,Malacostraca,Amphipoda,Gammaridae,marine,Scholander_et_al_1953,Sunday_et_al_PRSB_2011,removed tmin - artificial as far as I can tell
Myoxocephalus,quadricornis_hexacornis,leth,12,90,field_fresh,summer and autumn,25,71,-156.47,,0,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,marine,Scholander_et_al_1953,Sunday_et_al_PRSB_2011,removed tmin - artificial as far as I can tell
Pseudalibrotus,litoralis,leth,1.75,90,field_fresh,,25,71,-156.47,,0,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,marine,Scholander_et_al_1953,Sunday_et_al_PRSB_2011,removed tmin - artificial as far as I can tell
Charina,bottae,crit,14,NA,,,38,44.58,-123.26,,70,Chordata,Reptilia,Squamata,Boidae,terrestrial,Brattstrom_1965,Sunday_et_al_PNAS_2014,
Ascidia,ceratodes,leth,13,90,field_fresh,,24.3,38.33,-123.06,,0,Chordata,Ascidiacea,Enterogona,Ascidiidae,marine,Zerebecki_and_Sorte_2011,10.1371/journal.pone.0014806,added acclimation based on the range of daily temps reported for Bodega Bay
Bugula,californica,leth,13,90,field_fresh,,24.5,38.33,-123.06,,0,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,marine,Zerebecki_and_Sorte_2011,10.1371/journal.pone.0014806,added acclimation based on the range of daily temps reported for Bodega Bay
Distaplia,occidentalis,leth,13,90,field_fresh,,21.9,38.33,-123.06,,0,Chordata,Ascidiacea,Enterogona,Clavelinidae,marine,Zerebecki_and_Sorte_2011,10.1371/journal.pone.0014806,added acclimation based on the range of daily temps reported for Bodega Bay
