Genus,Species,Phylum,Class,Order,Family,Realm,Realm_detail,Realm_source,thermy,demers_pelag,demers_pelag_fb,demers_pelag_source,mobility,mobility_source,weight,weight_source,length,lengthType,length_source,fishbase_sci
Menidia,beryllina,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Freshwater,brackish,fishbase,ectotherm,pelagic,pelagic-neritic,fishbase,swim,,21.62322,fishbase from LW relationship of related species,15,TL,fishbase,Menidia beryllina
Parakanthophoreus,antarcticus,Arthropoda,Malacostraca,Tanaidacea,Akanthophoreidae,Marine,marine,WoRMS,ectotherm,demersal,benthic,WoRMS,swim,,NA,NA,0.4,body length,Bates et al. 2010 Supplement 2 (under Paraleptognathia antarctica),NA
Ophiostigma,abnorme,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Marine,marine,WoRMS,ectotherm,demersal,benthic,WoRMS,crawl,,NA,NA,20,arm-body diameter-arm,estimate from Vopel et al. 2003 https://aslopubs.onlinelibrary.wiley.com/doi/epdf/10.4319/lo.2003.48.5.2034; Fujita et al. 2011 http://www.kahaku.go.jp/research/publication/zoology/download/37_4/BNMNS_A370406.pdf,NA
Apogon,dovii,Chordata,Actinopteri,Kurtiformes,Apogonidae,Marine,marine,fishbase,ectotherm,demersal,reef-associated,fishbase,swim,,7.72,fishbase from LW relationship of related species,7.5,TL,fishbase,Apogon dovii
Apogon,novemfasciatus,Chordata,Actinopteri,Kurtiformes,Apogonidae,Marine,marine,fishbase,ectotherm,demersal,reef-associated,fishbase,swim,,16.31284471,fishbase from LW and reverse LL relationship,10,TL,fishbase,Ostorhinchus novemfasciatus
Apogon,pacifici,Chordata,Actinopteri,Kurtiformes,Apogonidae,Marine,marine,fishbase,ectotherm,demersal,reef-associated,fishbase,swim,,12.21341811,fishbase from LW relationship,10,TL,fishbase,Apogon pacificus
Acar,domingensis,Mollusca,Bivalvia,Arcoida,Arcidae,Marine,marine,WoRMS,ectotherm,demersal,benthic,sealifebase,sessile,,NA,NA,2.12,TL,sealifebase,Acar domingensis
Ascidia,ceratodes,Chordata,Ascidiacea,Enterogona,Ascidiidae,Marine,marine,sealifebase,ectotherm,demersal,demersal,sealifebase,sessile,,NA,NA,16,TL,Cheney et al. 1997 https://doi.org/10.1016/S0742-8413(96)00194-6,Ascidia ceratodes
Atherinops,affinis,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Marine,brackish,fishbase,ectotherm,pelagic,pelagic-neritic,fishbase,swim,,333.0920762,fishbase from LW relationship,37,TL,fishbase,Atherinops affinis
Menidia,menidia,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Marine,brackish,fishbase,ectotherm,pelagic,pelagic-neritic,fishbase,swim,,21.62322002,fishbase from LW relationship,15,TL,fishbase,Menidia menidia
Lipophrys,trigloides,Chordata,Actinopteri,Perciformes,Blenniidae,Marine,marine,fishbase,ectotherm,demersal,demersal,fishbase,swim,,20.43,fishbase from LW relationship of related species,13,TL,fishbase,Lipophrys trigloides
Parablennius,marmoreus,Chordata,Actinopteri,Perciformes,Blenniidae,Marine,marine,fishbase,ectotherm,demersal,reef-associated,fishbase,swim,,8,LW relationship from Camilato et al. 2010 https://doi.org/10.1111/j.1439-0426.2009.01343.x,8.5,TL,fishbase,Parablennius marmoreus
Plagiotremus,azaleus,Chordata,Actinopteri,Perciformes,Blenniidae,Marine,marine,fishbase,ectotherm,demersal,reef-associated,fishbase,swim,,NA,NA,10,TL,fishbase,Plagiotremus azaleus
Metacarcinus,magister,Arthropoda,Malacostraca,Decapoda,Cancridae,Marine,brackish,sealifebase,ectotherm,demersal,demersal,sealifebase,crawl,,1500,http://www.specialistidelvivo.com/granciporro_cancer-magister_eng.asp,22.5,CW,sealifebase,Metacarcinus magister
Eucidaris,tribuloides,Echinodermata,Echinoidea,Cidaroida,Cidaridae,Marine,marine,sealifebase,ectotherm,demersal,benthic,sealifebase,crawl,,NA,NA,13,WD,sealifebase,Eucidaris tribuloides
Cirrhitichthys,oxycephalus,Chordata,Actinopteri,Perciformes,Cirrhitidae,Marine,marine,fishbase,ectotherm,demersal,reef-associated,fishbase,swim,,18.06671054,fishbase from LW relationship,10,TL,fishbase,Cirrhitichthys oxycephalus
Distaplia,occidentalis,Chordata,Ascidiacea,Enterogona,Clavelinidae,Marine,marine,sealifebase,ectotherm,demersal,demersal,sealifebase,sessile,,NA,NA,10,TD,sealifebase,Distaplia occidentalis
Clupea,harengus,Chordata,Actinopteri,Clupeiformes,Clupeidae,Marine,brackish,fishbase,ectotherm,demersal,benthopelagic,fishbase,swim,,1050,fishbase,51.9903,TL,fishbase from LL relationship,Clupea harengus
Sardinops,melanosticta,Chordata,Actinopteri,Clupeiformes,Clupeidae,Marine,marine,fishbase,ectotherm,pelagic,pelagic-neritic,fishbase,swim,,486,fishbase,46.6236275,TL,fishbase from LL relationship,Sardinops sagax
Clinocottus,globiceps,Chordata,Actinopteri,Perciformes,Cottidae,Marine,marine,fishbase,ectotherm,demersal,demersal,fishbase,swim,,NA,NA,19,TL,fishbase,Clinocottus globiceps
Leptocottus,armatus,Chordata,Actinopteri,Perciformes,Cottidae,Marine,brackish,fishbase,ectotherm,demersal,demersal,fishbase,swim,,1954.506309,fishbase from LW relationship,46,TL,fishbase,Leptocottus armatus
Myoxocephalus,quadricornis_hexacornis,Chordata,Actinopteri,Perciformes,Cottidae,Marine,brackish,fishbase,ectotherm,demersal,demersal,fishbase,swim,,260,fishbase,60,TL,fishbase,Myoxocephalus quadricornis
Crangon,crangon,Arthropoda,Malacostraca,Decapoda,Crangonidae,Marine,brackish,sealifebase,ectotherm,demersal,benthic,sealifebase,swim,,3.345,Haefner & Spaargaren 1993 https://doi.org/10.2307/1548792,8.899999619,TL,sealifebase,Crangon crangon
Cyprinodon,dearborni,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Marine,freshwater,fishbase,ectotherm,demersal,benthopelagic,fishbase,swim,,NA,NA,4,TL,fishbase,Cyprinodon dearborni
Cyprinodon,variegatus,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Marine,brackish,fishbase,ectotherm,demersal,benthopelagic,fishbase,swim,,18.33343443,fishbase from LW and LL relationship,9,TL,fishbase,Cyprinodon variegatus variegatus
Floridichthys,carpio,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Marine,brackish,fishbase,ectotherm,demersal,benthopelagic,fishbase,swim,,NA,NA,8,TL,fishbase,Floridichthys carpio
Dasyatis,sabina,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Marine,brackish,fishbase,ectotherm,demersal,demersal,fishbase,swim,,4870,fishbase,61,WD,fishbase,Dasyatis sabina
Donax,serra,Mollusca,Bivalvia,Veneroida,Donacidae,Marine,marine,WoRMS,ectotherm,demersal,benthic,sealifebase,sessile,,NA,NA,6.5,anterior-posterior,Donn 1987 http://www.int-res.com/articles/meps/35/m035p217.pdf,Donax serra
Donax,sordidus,Mollusca,Bivalvia,Veneroida,Donacidae,Marine,marine,WoRMS,ectotherm,demersal,benthic,sealifebase,sessile,,NA,NA,2.8,greatest shell length,McLachan 1978 https://www.ajol.info/index.php/az/article/view/151464,Donax sordidus
Sterechinus,neumayeri,Echinodermata,Echinoidea,Echinoida,Echinidae,Marine,marine,sealifebase,ectotherm,demersal,benthic,sealifebase,crawl,,NA,NA,7,TD,Brey et al. 1995 https://doi.org/10.1007/BF00347132,Sterechinus neumayeri
Echinometra,lucunter,Echinodermata,Echinoidea,Echinoida,Echinometridae,Marine,marine,sealifebase,ectotherm,demersal,reef-associated,sealifebase,crawl,,NA,NA,15,WD,sealifebase,Echinometra lucunter
Engraulis,japonicus,Chordata,Actinopteri,Clupeiformes,Engraulidae,Marine,marine,fishbase,ectotherm,pelagic,pelagic-neritic,fishbase,swim,,45,fishbase,18,TL,fishbase,Engraulis japonicus
Fundulus,parvipinnis,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Marine,brackish,fishbase,ectotherm,demersal,benthopelagic,fishbase,swim,,21.50083019,fishbase from LW and LL relationship,10.8,TL,fishbase,Fundulus parvipinnis
Lucania,parva,Chordata,Actinopteri,Cyprinodontiformes,Fundulidae,Marine,amphidromous,fishbase,ectotherm,pelagic,pelagic-neritic,fishbase,swim,,8.54,fishbase from LW relationship,6.2,TL,fishbase,Lucania parva
Boreogadus,saida,Chordata,Actinopteri,Gadiformes,Gadidae,Marine,brackish,fishbase,ectotherm,demersal,demersal,fishbase,swim,,536.4284749,fishbase from LW relationship,40,TL,fishbase,Boreogadus saida
Gammarus,locusta,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Marine,brackish,sealifebase,ectotherm,demersal,demersal,sealifebase,swim,,0.056,weight-length relationship from Costa & Costa 1999,0.16,TL,Costa & Costa 1999 ,Gammarus locusta
Apeltes,quadracus<ca>,Chordata,Actinopteri,Perciformes,Gasterosteidae,Marine,brackish,fishbase,ectotherm,demersal,benthopelagic,fishbase,swim,,NA,NA,6.4,TL,fishbase,Apeltes quadracus
Pungitius,pungitius,Chordata,Actinopteri,Perciformes,Gasterosteidae,Marine,anadromous,fishbase,ectotherm,demersal,benthopelagic,fishbase,swim,,5.458177143,fishbase from LW and LL relationship,9,TL,fishbase,Pungitius pungitius
Eucinostomus,gracilis,Chordata,Actinopteri,Perciformes,Gerreidae,Marine,brackish,fishbase,ectotherm,demersal,demersal,fishbase,swim,,195.1813297,fishbase from LW relationship,21,TL,fishbase,Eucinostomus gracilis
Gobiesox,strumosus,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Marine,brackish,fishbase,ectotherm,demersal,reef-associated,fishbase,swim,,7.063031939,fishbase from LW relationship,8,TL,fishbase,Gobiesox strumosus
Bathygobius,fuscus,Chordata,Actinopteri,Perciformes,Gobiidae,Marine,amphidromous,fishbase,ectotherm,demersal,reef-associated,fishbase,swim,,NA,NA,12,TL,fishbase,Bathygobius fuscus
Bathygobius,ramosus,Chordata,Actinopteri,Perciformes,Gobiidae,Marine,marine,fishbase,ectotherm,demersal,reef-associated,fishbase,swim,,NA,NA,20,TL,fishbase,Bathygobius ramosus
Bathygobius,sp.1,Chordata,Actinopteri,Perciformes,Gobiidae,Marine,marine,fishbase,ectotherm,demersal,reef-associated,fishbase (from other species within genus),swim,,10,comparison against other Gobiinae subfamily in fishbase,9.3,TL,fishbase (mean of entire genus),NA
Bathygobius,sp.2,Chordata,Actinopteri,Perciformes,Gobiidae,Marine,marine,fishbase,ectotherm,demersal,reef-associated,fishbase (from other species within genus),swim,,10,comparison against other Gobiinae subfamily in fishbase,9.3,TL,fishbase (mean of entire genus),NA
Coryphopterus,urospilus,Chordata,Actinopteri,Perciformes,Gobiidae,Marine,marine,fishbase,ectotherm,demersal,reef-associated,fishbase,swim,,3.044917822,fishbase from LW relationship,6.5,TL,fishbase,Coryphopterus urospilus
Gillichthys,mirabilis,Chordata,Actinopteri,Perciformes,Gobiidae,Marine,brackish,fishbase,ectotherm,demersal,demersal,fishbase,swim,,183.6162071,fishbase from LW and reverse LL relationship,21,TL,fishbase,Gillichthys mirabilis
Gobius,niger,Chordata,Actinopteri,Perciformes,Gobiidae,Marine,brackish,fishbase,ectotherm,demersal,demersal,fishbase,swim,,74.95587521,fishbase from LW relationship,18,TL,fishbase,Gobius niger
Gobius,paganellus,Chordata,Actinopteri,Perciformes,Gobiidae,Marine,amphidromous,fishbase,ectotherm,demersal,demersal,fishbase,swim,,30.00198061,fishbase from LW relationship,13,TL,fishbase,Gobius paganellus
