References,ID,Phylum,Class,Order,Family,Genus,Species,Habitat,t_min,t_max,t_opt,max_growth,Longitude,Latitude,Cell_Volume_um3,Thermal_breadth_C,Environmental_annual_mean_temperature_C,Environmental_lowest_temperature_C,Environmental_highest_temperature_C,Environmental_temperature_range_C
Baars (1981),1,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,Actinocyclus octonarius,Marine,6,NA,30,0.79,3.6,51.4,2.93E+05,NA,11,5,17.2,12.3
Baars (1981),2,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,Actinoptychus senarius,Marine,0,NA,30,0.73,3.6,51.4,6.24E+05,NA,11,5,17.2,12.3
Thomas et al. (1973),3,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,Marine,10,30,27,0.3,-117.3,32.9,1.32E+05,20,16.4,14.6,19.1,4.5
Boyd et al. (2013),4,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain BWA,Marine,NA,35,25,0.36,-124.7,48.3,1.32E+05,NA,11.1,8.6,14.5,5.8
Boyd et al. (2013),5,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain GBB,Marine,NA,35,25,0.42,-124.6,47.9,1.32E+05,NA,11.9,8.9,15.8,6.9
Boyd et al. (2013),6,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain RMB,Marine,NA,35,25,0.35,-122,37,1.32E+05,NA,13.4,12,15.5,3.5
Boyd et al. (2013),7,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea strain YRB,Marine,NA,35,25,0.37,-118.4,33.8,1.32E+05,NA,15.3,13.6,17.7,4.1
Navarro et al. (2006),8,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium catenella ,Marine,NA,NA,14,0.21,-75.9,-46.7,9.74E+03,NA,10.9,8.3,13.8,5.5
Etheridge and Roesler (2005),9,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium fundyense strain BoF,Marine,NA,25,15,0.28,-66.5,44.7,1.18E+04,NA,6.6,1,13.1,12.1
Etheridge and Roesler (2005),10,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Alexandrium,Alexandrium fundyense strain MI,Marine,NA,25,15,0.46,-69.5,43.6,1.18E+04,NA,8.2,3.2,14.5,11.3
Cannon (1993),11,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium minutum,Marine,NA,NA,20,0.3,138.5,-34.8,9.61E+03,NA,16.4,14.2,18.7,4.5
