Lat,Long,Order,Species,Location,Reference,NTEMP,TCLIM,SIGMA,CTmax,Topt,Ctmin,WT
-42,147,Hemiptera,Sitobion.fragariae,Tasmania,Turak_et_al_1998,4,7.9083,3.6731,27.74,22.82,5.9,19.8317
-35.3,149.08,Hemiptera,Hyperomyzus.lactucae,Canberra_Australia,Shu-sheng_and_Hughes_1987,4,12.9,5.5224,26.1,23,4.1,13.2
-33,152,Hemiptera,Sitobion.miscanthi,Northern_suburbs_of_Sydney,Turak_et_al_1998,5,17.8417,3.97,29,24,7.26,11.1583
-31.08,150.93,Hemiptera,Dactylopius.austrinus,5km_east_of_Tamworth_(31degree05'S_150degree56'E),Hosking_1984,8,16.05,5.4705,35.94,31.2,15.42,19.89
-30.51,151.66,Hemiptera,Eriosoma.lanigerum,"Armidale,_New_South_Wales,_Australia",Asante_et_al_1991,6,13.5333,5.0825,34.075,26.725,3.55,20.5417
-27.47,151.48,Coleoptera,Pterohelaeus.darlingensis,"Mt._Maria,_40_km_west_of_Toowoomba,_Qld",Allsopp_1981,4,18.7083,4.892,34.54,29.42,14.24,15.8317
-26.5,31.5,Coleoptera,Callosobruchus.rhodesianus,"Swaziland,_Africa",Giga_and_Smith_1983,4,20.8917,3.1248,35.8,29.0333,17.8333,14.9083
-26,150,Coleoptera,Pterohalaeus.alternatus,"Boonarga,_7_km_east_of_Chinchilla_(australia?)",Allsopp_1981,4,20.0167,5.3731,30.55,27.2,19.25,10.5333
-21.09,149.09,Hemiptera,Saccharicoccus.sacchari,Mackay_in_north-eastern_Australia,Rae_and_De'ath_1991,5,22.15,3.6243,34.78,30.68,18.02,12.63
-3,40,Hymenoptera,Cotesia.sesamiae,Coast_Province_of_Kenya,Mbapila_and_Overholt_2001,4,26.1333,1.1555,36.65,30.05,6.5,10.5167
6.45,2.35,Hemiptera,Clavigralla.shadabi,"IITA_Station_in_Abomey/Calavi,_Benin",Dreyer_and_Baumgartner_1996,8,27.125,1.1427,33.0677,28.8,19.3,5.9427
13.48,2.17,Hymenoptera,Uscana.lariophaga,Niamey_Niger,Huis_et_al_1994,6,29.75,3.1021,41.04,36.3,17.76,11.29
20.88,-156.52,Diptera,Ceratitis.capitata,"Kula,_Maui_in_1957_(in_lab_for_40_years/355_gen!),_HI",Vargas_et_al_1997,5,21.5083,1.2972,31.78,27.98,13.28,10.2717
23.12,113.25,Diptera,Bactrocera.dorsalis.a,Guangzhou_suburb_(China),Yang_et_al._1994,7,22.425,5.6769,36.2,32.6,11.75,13.775
25,68,Hymenoptera,Cotesia.flavipes,Southern_Pakistan,Mbapila_and_Overholt_2001,4,27.1,5.2209,34.625,29.275,10.75,7.525
25.47,-80.48,Hemiptera,Bemisia.argentifolia,"Homestead,_Dade_County,_Florida",Wang_and_Tsai_1996,5,23.7083,3.2553,36.475,29.625,7.275,12.7667
26,-98.8,Lepidoptera,Diatraea.lineolata,"Rio_Bravo,_Tamaulipas,_Mexico",Rodriguez-del-Bosque_et_al_1992,4,23.3833,6.0101,31.4,25.3,6.1,8.0167
26.14,-81.8,Hemiptera,Rhopalosiphum.rufiabdominalis,Naples_FL,Tsai_and_Liu_1998,5,23.4833,3.8487,33.52,27.48,5.28,10.0367
26.2,-80.1,Hemiptera,Diaphorina.citri,"Broward_County_Florida,_Pompano_Beach",Liu_and_Tsai_2000,5,23.9417,3.418,31.96,27.84,13.14,8.0183
30.25,120.2,Hymenoptera,Cotesia.plutellae,"Hangzhou,_China",Shu-sheng_et_al_2000,5,16.9,8.9237,36.175,30.075,10.875,19.275
33.4,-117.2,Thysanoptera,Scirtothrips.perseae,orchard_in_Fallbrook_California,Hoddle_2002,5,16.8417,4.4048,28.15,21.35,12.5,11.3083
34.98,138.4,Hemiptera,Aphis.citricola,"Aliencolae_(?)_were_collected_from_a_citrus_orchard_at_Okitsu_Branch,_Fruit_tree_Research_Station,_Japan",Komazaki_1982,6,16.0083,7.4694,30.225,25.8,8.625,14.2167
34.98,138.4,Hemiptera,Toxoptera.citricidus.aurantium,"Alienicolae_(?)_were_collected_from_a_citrus_orchard_at_Okitsu_Branch,_Fruit_tree_research_station,_Japan",Komazaki_1982,7,16.0083,7.4694,30.92,26.4,9.48,14.9117
35.36,132.75,Thysanoptera,Thrips.tabaci,"Izumo,_Shimane_in_western_Japan",Murae_2000,5,14.5083,8.0578,30.025,25.525,10.075,15.5167
36.07,114.22,Hemiptera,Aphis.gossypii.6,"China_Cotton_Research_Institute_(CCRI),_Anyang,_Henan_Province",Xia_et_al_1999,6,13.9333,10.2492,35.95,28.3,8.95,22.0167
37,127.5,Collembola,Paronychiurus.kimi,"rice_field_in_Ichon,_central_region_of_Korea",Choi_et_al_2002,5,11.2083,10.6786,29.54,25.42,9.64,18.3317
38,23,Hemiptera,Macrolophus.pygmaeus,"Thiva,_Greece",Perdikis_and_Lykouressis_2002,5,16,6.5022,32.28,27.08,8.36,16.28
38.93,-92.3,Hemiptera,Brevicoryne.brassicae,"USDA/ARS_biological_control_laboratory_at_University_of_Missouri,_Columbia",DeLoach_1974,4,12.0917,10.0632,27.86,22.08,4.8,15.7683
