SpCode,PDIOrder,Genus,Species,OldName,Family,FamCode1,FamCode2,Tropical,Bask,Lat,AbsLat,Long,Locality,meanTB,Tsumday,newTopt,CTmin,CTmax,ThermalDependenceCitat,FieldTbCitat,SafeZone
El,1,Elgaria,Elgaria_multicarinata,Gerrhonotus_multicarinatus,Anguidae,1,1,0,1,33.70,33.70,-117.80,CA,21.40,26.27,34.60,12.40,43.60,Bennett 1980,Bennett 1980,8.3333
LB,2,Laukadia,Laudakia_stellio,Stellio_stellio_ASB,Agamidae,2,2,0,1,30.80,30.80,34.80,Israel,34.40,31.60,37.60,12.60,45.00,Hertz et al. 1983,Hertz et al. 1983,6.0000
Lk,3,Laudakia,Laudakia_stellio,Stellio_stellio_AS3,Agamidae,2,2,0,1,33.4,33.4,35.86,Israel,34.10,15.33,36.70,11.90,44.70,Hertz et al. 1983,Hertz et al. 1983,21.3667
Ts,4,Trapelus,Trapelus_savignyi,Agama_savignyi,Agamidae,2,2,0,1,31.10,31.10,34.80,Israel,37.90,32.28,36.40,12.00,47.20,Hertz et al. 1983,NA,4.1167
a1,5,Anolis,Anolis_carolinensis,Anolis_carolinensis,Polychrotidae,3,3,0,1,31.00,31.00,-89.90,US,26.90,33.28,32.10,4.70,41.70,van Berkum 1986,many,-1.1833
tr,6,Anolis,Anolis_tropidolepis,Anolis_tropidolepis,Polychrotidae,3,3,1,0,10.30,10.30,-84.80,"Monte_Verde,_CostaRica",20.50,28.03,27.00,9.50,33.10,van Berkum 1986,van Berkum 1986,-1.0333
Ai,7,Anolis,Anolis_intermedius,Anolis_intermedius,Polychrotidae,3,3,1,1,10.30,10.30,-84.80,"Monte_Verde,_CostaRica",26.10,28.03,30.10,11.10,38.50,van Berkum 1986,van Berkum 1986,2.0667
Ah,8,Anolis,Anolis_humilis,Anolis_humilis,Polychrotidae,3,3,1,0,10.40,10.40,-83.80,"La_Selva,_CostaRica",26.20,31.25,27.50,12.40,35.60,van Berkum 1986,van Berkum 1986,-3.7500
cu,9,Anolis,Anolis_cupreus,Anolis_cupreus,Polychrotidae,3,3,1,0,10.40,10.40,-85.10,CostaRica,29.40,32.72,30.80,11.80,38.40,van Berkum 1986,van Berkum 1986,-1.9167
mu,10,Anolis,Anolis_lemurinus,Anolis_lemurinus,Polychrotidae,3,3,1,0,10.40,10.40,-83.80,"La_Selva,_CostaRica",25.60,31.25,33.50,12.90,37.30,van Berkum 1986,Henderson_&_Fitch_1975,2.2500
li,11,Anolis,Anolis_lionotus,Anolis_lionotus_cor,Polychrotidae,3,3,1,0,10.40,10.40,-83.80,"La_Selva,_CostaRica",26.10,31.25,28.40,14.70,36.70,van Berkum 1986,Campbell 1971; van Berkum 1986,-2.8500
Al,12,Anolis,Anolis_limifrons,Anolis_limifrons,Polychrotidae,3,3,1,0,10.40,10.40,-83.80,"La_Selva,_CostaRica",26.30,31.25,27.90,12.30,36.80,van Berkum 1986,van Berkum 1986,-3.3500
Ag,13,Anolis,Anolis_gundlachi,Anolis_gundlachi,Polychrotidae,3,3,1,0,18.20,18.20,-64.80,PuertoRico,24.80,30.53,28.10,6.30,35.40,Huey_unpubl._data,Huey & Webster 1976,-2.4333
Ac,14,Anolis,Anolis_cristatellus,Anolis_cristatellus,Polychrotidae,3,3,1,1,18.50,18.50,-66.20,PuertoRico,29.90,29.93,29.10,8.90,37.10,Huey 1983,Huey & Webster 1976,-0.8333
ck,15,Anolis,Anolis_cooki,Anolis_cooki,Polychrotidae,3,3,1,1,18.10,18.10,-67.20,PuertoRico,32.00,30.12,28.90,9.30,38.80,Huey_unpubl._data,Huey & Webster 1976,-1.2167
Gw,16,Gambelia,Gambelia_wislizennii,Gambelia_wislizenii,Iguania,4,4,0,1,39.40,39.40,-118.10,Nevada,37.40,30.27,34.20,12.60,43.60,Crowley & Pietruszka 1983,Crowley & Pietruszka 1983,3.9333
Dd,17,Dipsosaurus,Dipsosaurus_dorsalis,Dipsosaurus_dorsalis,Iguania,4,4,0,1,33.80,33.80,-115.50,PalmSpringsCA,41.20,37.48,40.30,14.00,47.50,Bennett 1980,Bennett 1980,2.8167
Um,18,Uma,Uma_inornata,Uma_inornata,Iguania,4,4,0,1,33.80,33.80,-116.60,CA,38.00,31.30,39.40,-9999.00,45.00,Bennett 1980,Brattstrom 1965,8.1000
Us,19,Uta,Uta_stansburiana,Uta_stansburiana,Iguania,4,4,0,1,39.50,39.50,-107.80,RifleCO,35.30,28.80,36.70,7.80,43.70,Waldschmidt & Tracy 1983,many,7.9000
Su,20,Sceloporus,Sceloporus_undulatus_(Colorado_pop),Sceloporus_undulatus_CO,Iguania,4,4,0,1,37.20,37.20,-105.90,Colorado,33.50,26.05,38.20,6.50,43.30,Crowley 1985,Crowley 1985,12.1500
Sc,21,Sceloporus,Sceloporus_undulatus_(South_Carolina),Sceloporus_undulatus_SC,Iguania,4,4,0,1,34.43,34.43,-82.85,SREL_GA,33.10,31.63,35.50,11.40,40.40,Angilletta et al. 2002,Angilletta 2001,3.8667
So,22,Sceloporus,Sceloporus_occidentalis,Sceloporus_occidentalis_WA,Iguania,4,4,0,1,45.80,45.80,-121.50,Bingen_WA,32.90,26.10,34.30,4.60,44.10,van Berkum 1988,van Berkum 1988,8.2000
oc,23,Sceloporus,Sceloporus_occidentalis,Sceloporus_occidentalis_CA,Iguania,4,4,0,1,34.03,34.03,-117.82,CA,35.10,22.80,34.80,4.80,44.10,van Berkum 1988,van Berkum 1988,12.0000
ch,24,Sceloporus,Sceloporus_malachiticus,Sceloporus_malachiticus,Iguania,4,4,1,1,10.30,10.30,-84.80,"Monte_Verde,_CostaRica",32.30,13.00,36.30,9.70,42.80,van Berkum 1988,van Berkum 1988,23.3000
