Genus,Species,tmax_metric,tmax_acc,tmax_acc_days,tmax_acc_type,tmax_col_time_if_field_fresh,tmax,lat_max,long_max,no_NicheMapR_data,altitude,Phylum,Class,Order,Family,Realm,REF_max,citation_details_or_paper_in_which_data_were_compiled,notes.2017,NM_1cm_airshade,NM_2m_airshade,NM_exposed_bodytemp,NM_exposed_air,NM_exposed_body_wet,NM_shade_body_wet,NMGHCND_2m_airshade,NMGHCND_exposed_Te,NMGHCND_exposed_Te_wet,NMGHCND_2m_airshade95,NMGHCND_exposed_Te95,NMGHCND_exposed_Te_wet95,NMGHCND_shade_Te_wet,NMGHCND_shade_Te_wet95
Kuhlia,sandvicensis,crit,30,12,lab,,40.3,21.3,-158,,0,Chordata,Actinopterygii,Perciformes,Kuhliidae,Marine,Sylvester et al 1975,J. Fish Biol. (1975) 7 257-262,Could not find previous record with LTs (Tester and Takata) but I found this paper with the same species; and2 other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mugil,cephalus,crit,30,12,lab,,41.8,21.3,-158,,0,Chordata,Actinopterygii,Mugiliformes _ã_ Mugilidae _ã_ Moolgarda,Mugilidae,Marine,Sylvester et al 1975,J. Fish Biol. (1975) 7 257-262,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boreogadus,saida,leth,1.75,90,field_fresh,summer and autumn,15,71,-156.47,,0,Chordata,Actinopterygii,Gadiformes,Gadidae,Marine,Scholander_et_al_1953,Sunday_et_al_PRSB_2011,removed tmin - artificial as far as I can tell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gammarus,locusta,leth,1.75,90,field_fresh,,25.02,71,-156.47,,0,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Marine,Scholander_et_al_1953,Sunday_et_al_PRSB_2011,removed tmin - artificial as far as I can tell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myoxocephalus,quadricornis_hexacornis,leth,12,90,field_fresh,summer and autumn,25,71,-156.47,,0,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Marine,Scholander_et_al_1953,Sunday_et_al_PRSB_2011,removed tmin - artificial as far as I can tell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudalibrotus,litoralis,leth,1.75,90,field_fresh,,25,71,-156.47,,0,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Marine,Scholander_et_al_1953,Sunday_et_al_PRSB_2011,removed tmin - artificial as far as I can tell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charina,bottae,crit,14,NA,,,38,44.58,-123.26,,70,Chordata,Reptilia,Squamata,Boidae,Terrestrial,Brattstrom_1965,Sunday_et_al_PNAS_2014,,27.79916573,26.91525269,49.29927063,39.18560028,30.05421638,18.50606918,38.30709839,58.5223465,35.53827667,23.1012146,41.83595276,24.36787462,28.69658279,17.56563406
Ascidia,ceratodes,leth,13,90,field_fresh,,24.3,38.33,-123.06,,0,Chordata,Ascidiacea,Enterogona,Ascidiidae,Marine,Zerebecki_and_Sorte_2011,10.1371/journal.pone.0014806,added acclimation based on the range of daily temps reported for Bodega Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bugula,californica,leth,13,90,field_fresh,,24.5,38.33,-123.06,,0,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Marine,Zerebecki_and_Sorte_2011,10.1371/journal.pone.0014806,added acclimation based on the range of daily temps reported for Bodega Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Distaplia,occidentalis,leth,13,90,field_fresh,,21.9,38.33,-123.06,,0,Chordata,Ascidiacea,Enterogona,Clavelinidae,Marine,Zerebecki_and_Sorte_2011,10.1371/journal.pone.0014806,added acclimation based on the range of daily temps reported for Bodega Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rana,boyleri,crit,30,NA,,,34,39.72,-122.81,,914.4,Chordata,Amphibia,Anura,Ranidae,Terrestrial,Brattstrom_1968,Sunday_et_al_PNAS_2014,,28.64794731,27.80828857,60.35020828,40.75476456,41.43381119,19.132658,38.33618164,60.46933746,34.25086975,23.96014557,45.02324715,23.81676683,26.34022713,16.69620152
Metacarcinus,magister,leth,17.5,15,lab,,33.5,48.68,-122.5,,0,Arthropoda,Malacostraca,Decapoda,Cancridae,Marine,Prentice_and_Schneider_1979,Comparative_Biochemical_Physiology_63A_591-597,added acclimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thamnophis,ordinoides,crit,32,NA,,,38.3,45.5,-122.5,,200,Chordata,Reptilia,Squamata,Colubridae,Terrestrial,Stewart_1965,Sunday_et_al_PNAS_2014,,27.3002243,26.44573975,48.13409042,38.24885559,29.51032639,17.85992241,38.3026123,58.09041595,35.12766647,23.16874695,41.22229366,23.85852327,27.88616562,17.28721094
Thamnophis,sirtalis_concinnus,crit,32,NA,,,39.2,45.5,-122.5,,200,Chordata,Reptilia,Squamata,Colubridae,Terrestrial,Stewart_1965,Sunday_et_al_PNAS_2014,,27.3002243,26.44573975,48.13409042,38.24885559,29.51032639,17.85992241,38.3026123,58.09041595,35.12766647,23.16874695,41.22229366,23.85852327,27.88616562,17.28721094
Rana,pretiosa,crit,30,NA,,,34.8,51,-121.5,,609.6,Chordata,Amphibia,Anura,Ranidae,Terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,,25.40097809,24.26330566,54.47369766,38.11333847,38.66842651,16.94704247,37.02978516,59.20145416,34.23803711,20.53106689,40.44052811,22.45770245,26.13446999,14.7591805
Sceloporus,occidentalis,crit,NA,NA,,,44.1,45.75,-121.2,,300,Chordata,Reptilia,Squamata,Phrynosomatidae,Terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation conditions in Van Berkum's thesis,29.11901474,28.64215088,49.46910095,39.93458939,28.72314453,17.81296921,42.33581543,61.31204605,35.12070465,24.40563965,41.25910225,23.10817118,28.06602669,16.82275639
Girella,nigricans,leth,28,NA,,,31.4,34,-120.8,,0,Chordata,Actinopterygii,Perciformes,Kyphosidae,Marine,Doudoroff_1942_in_Brett_1970,Sunday_et_al_PRSB_2011,acclimation not given,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rana,cascadae,crit,30,NA,,,33.6,40,-120.8,,2133.6,Chordata,Amphibia,Anura,Ranidae,Terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,,28.97030449,28.19067383,62.6711731,42.31194687,41.73727417,17.62236595,37.77978516,61.75774002,32.3884201,23.58535461,46.38083897,22.96408615,23.23363113,14.8713016
Takydromus,septentrionalis,crit,35,NA,,,44.5,28.47,119.92,,0,Chordata,Reptilia,Squamata,Lacertidae,Terrestrial,Yang_et_al_2009,Sunday_et_al_PRSB_2011,,35.50475693,34.70721436,57.30993652,47.62780762,36.00363922,28.4149456,41.14788818,60.92345428,37.78711319,31.14135742,49.1449358,31.12906895,34.33268356,27.02705774
Plestiodon,gilberti,crit,20,NA,,,42.3,37,-119.7,,600,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Youssef_et_al_2008,Sunday_et_al_PRSB_2011,,38.58272171,37.17510986,65.88249207,53.29841614,35.02882004,22.77495193,44.56707764,71.38309479,37.18527603,32.95708771,57.89603825,31.21242104,29.37534714,22.19805279
Bufo,canorus,crit,30,NA,,,38,38,-119.3,,2743.2,Chordata,Amphibia,Anura,Bufonidae,Terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,,22.6842804,21.74133301,55.94309998,35.27646255,36.35499191,12.97870827,30.02035522,54.16328812,28.10870171,17.48186035,40.62104321,18.89875708,17.92904282,10.24723382
Elgaria,multicarinatus_webbi,crit,21.4,NA,,,41.4,34.3,-119.23,,NA,Chordata,Reptilia,Squamata,Anguidae,Terrestrial,Cunningham_1966,Sunday_et_al_PRSB_2011,,28.312006,26.91278076,54.08740997,42.29381943,32.33439255,19.72285652,41.24603271,64.99217987,37.24558258,24.64605713,47.86477146,28.30958843,32.05548859,19.12740135
Chrysomela,aeneicollis,crit,25,NA,,,39,37.18,-118.28,,3200,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Terrestrial,Neargarder_2003,Sunday_et_al_PNAS_2014,,35.11680603,34.02496338,59.47552872,47.75297546,30.35815239,18.80897141,40.60211182,64.09355927,32.30772018,28.94543457,51.66522827,24.8518136,23.52055931,17.45122147
Bufo,exsul,crit,30,NA,,,37.1,38,-118,,1524,Chordata,Amphibia,Anura,Bufonidae,Terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,,35.07441711,33.94259644,66.68697357,47.42214966,41.40056229,20.53450203,41.3215332,64.47251892,32.63294601,28.63049316,51.17403164,24.15424643,23.47888374,16.98050032
Xantusia,riversiana,crit,28,NA,,,39,32.90778,-118.497394,,250,Chordata,Reptilia,Squamata,Xantusiidae,Terrestrial,Mautz_et_al._1992,Sunday_et_al_PRSB_2011,,23.42054749,21.80822754,48.88547897,36.63957214,31.10400581,17.57891083,34.29827881,57.24211884,36.4139061,20.60305786,43.51916027,26.22289124,28.67446518,17.67333469
Pseudacris,regilla,crit,30,NA,,,36.6,34,-117.7,,304.8,Chordata,Amphibia,Anura,Hylidae,Terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,,32.61484528,31.3145752,64.55817413,45.63774872,41.97113037,23.67141533,41.71777344,64.35070038,36.5994072,27.89877014,50.48019218,29.54455013,31.48863029,21.14498749
Atherinops,affinis,leth,20,28,,,31.7,33,-117.5,,0,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Marine,Doudoroff_1945_in_Brett_1970,Sunday_et_al_PRSB_2011,added acclimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fundulus,parvipinnis,leth,28,60,,,36.5,33,-117.5,,0,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Marine,Doudoroff_1945_in_Brett_1970,Sunday_et_al_PRSB_2011,added acclimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sceloporus,graciosus,crit,NA,NA,,,44.7,33.91666667,-117.4,,230,Chordata,Reptilia,Squamata,Phrynosomatidae,Terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation conditions in Van Berkum's thesis,34.65055466,33.51000977,57.87712479,47.0682373,33.79853058,23.38111115,42.74380493,65.3095932,36.64358139,29.82483063,50.86109619,29.75706453,31.17054176,22.15105095
Xantusia,vigilis,crit,NA,NA,,,41.6,33.91666667,-117.4,,50,Chordata,Reptilia,Squamata,Xantusiidae,Terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation conditions in Van Berkum's thesis,34.65055466,33.51000977,57.87712479,47.0682373,33.79853058,23.38111115,42.74380493,65.3095932,36.64358139,29.82483063,50.86109619,29.75706453,31.17054176,22.15105095
Ambystoma,macrodactylum,crit,20,NA,,,34.4,45.5,-117.22,,2470,Chordata,Amphibia,Caudata,Ambystomatidae,Terrestrial,Howard_1983,Sunday_et_al_PNAS_2014,,28.32692528,27.91201782,57.48251724,39.46073532,39.83395767,16.85315895,39.26977539,59.39472198,31.57012939,22.63378906,40.80047035,20.92061491,23.53552628,13.91929245
Bufo,boreas,crit,30,NA,,,36.5,34.12,-116.82,,2743.2,Chordata,Amphibia,Anura,Bufonidae,Terrestrial,Brattstrom_1968,Sunday_et_al_PNAS_2014,,30.80490494,29.71942139,61.82200241,42.69947052,41.62045288,20.47530937,36.88861084,59.19116211,32.89390182,24.90374756,47.23265133,23.92344122,24.68742371,17.05497942
