"Genus","Species","tmax_metric","tmax_acc","tmax_acc_days","tmax_acc_type","tmax_col_time_if_field_fresh","tmax","lat_max","long_max","no_NicheMapR_data","altitude","Phylum","Class","Order","Family","Realm","REF_max","citation_details_or_paper_in_which_data_were_compiled","notes.2017","NM_1cm_airshade","NM_2m_airshade","NM_exposed_bodytemp","NM_exposed_air","NM_exposed_body_wet","NM_shade_body_wet","thermy","weight","weight_source","length","notes","NMGHCND_2m_airshade95","NMGHCND_exposed_Te95","NMGHCND_exposed_Te_wet95","NMGHCND_shade_Te_wet95","NMGHCND_exposed_Tb95","NMGHCND_exposed_Tb_wet95","NMGHCND_shade_Tb_wet95","NMGHCND_2m_shade_Tb95"
"Abudefduf","saxatilis","leth",30,90,"field_fresh","",40,9.5,-78,"",0,"Chordata","Actinopterygii","Perciformes","Pomacentridae","Marine","Scholander_et_al1953","Physiological_Zoology_Vol._26_No._1_(Jan._1953)_pp._67-92","",NA,NA,NA,NA,NA,NA,"ectotherm",200,"fishbase",22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acar","domingensis","crit",24,90,"field_fresh","",39,-7.89,-14.38,"",0,"Mollusca","Bivalvia","Arcoida","Arcidae","Marine","Morley_et_al2016","Journal_of_the_Marine_Biological_Association_of_the_United_Kingdom_","added acclimation; some more species from antarctica could be added",NA,NA,NA,NA,NA,NA,"ectotherm",NA,NA,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adamussium","colbecki","leth",NA,NA,"","",4,-67.5,-68,"",0,"Mollusca","Bivalvia","Ostreoida","Pectinidae","Marine","Peck_et_al_2004","Sunday_et_al_PRSB_2011","The LT50 was from a different study: Bailey PhD thesis. No acclimation given.",NA,NA,NA,NA,NA,NA,"ectotherm",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adelotus","brevis","crit",5,NA,"","",31.2,-33.43,151.35,"",304.8,"Chordata","Amphibia","Anura","Myobatrachidae","Terrestrial","Brattstrom_1970","Sunday_et_al_PNAS_2014","",28.61567688,27.39422607,58.11693954,40.71201324,40.84739685,21.54232216,"ectotherm",5.42,"AmphiBIO",4.5,NA,26.3452865600586,46.2694282531738,28.5866853713989,20.6306304931641,46.269428147029,28.5866853877999,20.6306304836716,26.3452865592965
"Agroeca","proxima","crit",15,NA,"","",37.4,55.4,14.19,"",3,"Arthropoda","Arachnida","Araneae","Liocranidae","Terrestrial","Almquist_1970","Sunday_et_al_PRSB_2011","",21.45034218,20.69140625,37.31809998,29.06827927,22.77695847,16.03072166,"ectotherm",4.55e-05,"mean from Brose et al. dataset",NA,NA,18.8396835327148,33.0004692077637,21.0164030075073,15.8041455745697,33.0004692077637,21.0164030075073,15.8041455745697,18.8396835327148
"Ambystoma","jeffersonianum","crit",10,NA,"","",34,40.23,-76.85,"",422.2,"Chordata","Amphibia","Caudata","Ambystomatidae","Terrestrial","Gatz_1971","Sunday_et_al_PNAS_2014","",30.67699432,29.7902832,55.31867599,40.7108345,40.80286026,23.40874863,"ectotherm",17.2,"AmphiBIO",21,NA,26.8849487304688,43.2104179382324,27.7366203308105,21.6282752037048,43.2104134233055,27.7365880469885,21.6282951176568,26.8849288334427
"Ambystoma","macrodactylum","crit",20,NA,"","",34.4,45.5,-117.22,"",2470,"Chordata","Amphibia","Caudata","Ambystomatidae","Terrestrial","Howard_1983","Sunday_et_al_PNAS_2014","",28.32692528,27.91201782,57.48251724,39.46073532,39.83395767,16.85315895,"ectotherm",53.3,"Santini et al. 2018 doi: 10.1111/1749-4877.12268",24.8,NA,22.6337890625,40.8004703521729,20.9206149101257,13.9192924499512,40.7973587014057,20.9207387836783,13.9189467264382,22.6332446108002
"Ambystoma","maculatum","crit",15,NA,"","",38.5,35.55,-91.62,"",184,"Chordata","Amphibia","Caudata","Ambystomatidae","Terrestrial","Sealander_1969","Sunday_et_al_PNAS_2014","",34.47205734,33.26953125,63.28142548,46.29003525,40.93312836,26.32103729,"ectotherm",24,"AmphiBIO",24.8,NA,30.0949096679688,49.9796943664551,31.2678273200989,24.3461599349976,49.9794139377048,31.267883260362,24.3462216541148,30.094858893011
"Ameiva","festiva","crit",29,NA,"","",43.7,10.5,-84,"",50,"Chordata","Reptilia","Squamata","Teiidae","Terrestrial","van_Berkum_1988","Sunday_et_al_PRSB_2011","",33.59473419,31.94152832,58.98279572,47.20279312,36.66391373,27.03412056,"ectotherm",92.36,"Slavenko et al. 2016 database",NA,NA,30.326106262207,54.6807271957397,32.2347497940063,26.8134883880615,54.6774063639095,32.2333913394285,26.8119290758217,30.325543440804
"Amphibolurus","decresii","crit",NA,NA,"","",43.8,-30,150,"",NA,"Chordata","Reptilia","Squamata","Agaidae","Terrestrial","Spellerberg_1972","Sunday_et_al_PRSB_2011","Filed fresh; only season of collection was given - not field temp.",33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,NA,NA,NA,NA,NA,29.2859649658203,55.9251811981201,30.4193519592285,20.7009906768799,NA,NA,NA,NA
"Amphibolurus","diemensis","crit",NA,NA,"","",44.8,-30,150,"",NA,"Chordata","Reptilia","Squamata","Agaidae","Terrestrial","Spellerberg_1972","Sunday_et_al_PRSB_2011","Filed fresh; only season of collection was given - not field temp.",33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,NA,NA,NA,NA,NA,29.2859649658203,55.9251811981201,30.4193519592285,20.7009906768799,NA,NA,NA,NA
"Amphibolurus","muricatus","crit",NA,NA,"","",42.3,-30,150,"",NA,"Chordata","Reptilia","Squamata","Agaidae","Terrestrial","Spellerberg_1972","Sunday_et_al_PRSB_2011","Filed fresh; only season of collection was given - not field temp.",33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,"ectotherm",66.82,"Slavenko et al. 2016 database",NA,NA,29.2859649658203,55.9251811981201,30.4193519592285,20.7009906768799,55.9220363368219,30.4165964420948,20.7003941613852,29.2864482841706
"Anolis","carolinensis","crit",NA,NA,"","",41.7,31,-90.1,"",0,"Chordata","Reptilia","Squamata","Polychrotidae","Terrestrial","van_Berkum_1988","Sunday_et_al_PRSB_2011","acclimation added from Van Berkum 1986.",34.45812225,33.65039063,57.56844711,47.31400299,35.8071022,26.53972244,"ectotherm",8.75,"Slavenko et al. 2016 database",NA,NA,31.30859375,52.0438465118408,32.8768396377563,25.586088848114,52.0438458820532,32.8768399627098,25.5860891264721,31.3085910956972
"Anolis","cooki","crit",NA,NA,"","",38.8,18.1,-66.9,"",0,"Chordata","Reptilia","Squamata","Polychrotidae","Terrestrial","Huey_unpubl._data","Sunday_et_al_PRSB_2011","acclimation is not provided in Huey et al 2009 data table; original work is not published",30.20558167,29.20861816,49.37818909,39.81740189,32.79636765,24.16369629,"ectotherm",7.14,"Slavenko et al. 2016 database",NA,NA,28.6083374023438,46.3069282531738,29.9329418182373,24.4959681510925,46.3069282461657,29.9329417230977,24.4959681186156,28.6083364655004
"Anolis","cristatellus","crit",28,8,"","",37.1,18.5,-66.135,"",NA,"Chordata","Reptilia","Squamata","Polychrotidae","Terrestrial","Huey_1983","Sunday_et_al_PRSB_2011","found acclimation temp in original source",31.52019882,30.47161865,50.65329742,41.19743729,33.54246521,25.05914688,"ectotherm",9.82,"Slavenko et al. 2016 database",NA,NA,29.8305770874023,47.6649906158447,31.935654258728,25.3243298530579,47.6649851076552,31.935651456146,25.3243294452564,29.8305771308247
"Anolis","cupreus","crit",24.5,8,"","",38.4,10.5,-85.3,"",10,"Chordata","Reptilia","Squamata","Polychrotidae","Terrestrial","van_Berkum_1988","Sunday_et_al_PRSB_2011","acclimation added from Van Berkum 1986.",35.39498901,33.2902832,64.43070221,51.06342316,37.03872681,27.99109459,"ectotherm",3.9,"Slavenko et al. 2016 database",NA,NA,32.1387939453125,59.3126132965088,33.6816398620605,27.8706802368164,59.3126132922196,33.6816398618642,27.87068023648,32.1387939388973
"Anolis","cybotes","crit",29.9,NA,"","",39,19.2,-70.6,"",1150,"Chordata","Reptilia","Squamata","Polychrotidae","Terrestrial","Hertz_Huey_1981","Sunday_et_al_PNAS_2014","",33.832798,32.47167969,57.22748184,46.63938141,34.74837112,25.07818413,"ectotherm",11.01,"Slavenko et al. 2016 database",NA,NA,31.1348266601562,54.0189170837402,33.3069831848144,25.1792737960815,54.0189182577813,33.306982967131,25.1792727299756,31.1348236850664
"Anolis","gundlachi","crit",24.8,90,"field_fresh","",35.7,18.241,-66.135,"",350,"Chordata","Reptilia","Squamata","Polychrotidae","Terrestrial","Huey_1976","Sunday_et_al_PNAS_2014","acclimation was only 1 day; in most studies this is considered field-fresh; therefore changed acclimation data and used mean field body temp for acclimation temp",30.06214714,29.06994629,49.05403137,39.60205078,32.4567337,23.79378319,"ectotherm",9.1,"Slavenko et al. 2016 database",NA,NA,28.38232421875,45.8771116256714,30.5400856018066,24.0503452301025,45.8771076708774,30.5400847810699,24.0503451121741,28.3823231282891
"Anolis","humilis","crit",24.5,8,"","",35.6,10.5,-84,"",50,"Chordata","Reptilia","Squamata","Polychrotidae","Terrestrial","van_Berkum_1988","Sunday_et_al_PRSB_2011","acclimation added from Van Berkum 1986.",33.59473419,31.94152832,58.98279572,47.20279312,36.66391373,27.03412056,"ectotherm",2.65,"Slavenko et al. 2016 database",NA,NA,30.326106262207,54.6807271957397,32.2347497940063,26.8134883880615,54.6807271957405,32.2347497940037,26.8134883880556,30.3261062621434
"Anolis","intermedius","crit",24.5,8,"","",38.4,10.25,-84.8,"",1450,"Chordata","Reptilia","Squamata","Polychrotidae","Terrestrial","van_Berkum_1988","Sunday_et_al_PRSB_2011","acclimation added from Van Berkum 1986.",29.97374916,28.68707275,54.73947906,42.45905685,33.20513535,22.59710121,"ectotherm",3.33,"Slavenko et al. 2016 database",NA,NA,27.0636657714844,50.3933595657349,31.5658739089966,22.9675772666931,50.3933595419724,31.5658739090028,22.9675772666417,27.0636657715949
