"model","r2","n","variable","smooth","estimate","se","t","p","RVI","edf","F"
"Tmax","0.63","406","Intercept",0,33.74,1.38,24.37,"2.8e-80",,,
"Tmax","","","Realm",0,6.74,1.79,3.76,"0.0002",1,,
"Tmax","","","tmax_metric",0,-2.34,0.95,-2.48,"0.014",0.84,,
"Tmax","","","Latitude:Marine",1,,,,"1.8e-61",1,7.94,45
"Tmax","","","Latitude:Terrestrial",1,,,,"2.2e-12",,6.65,11.07
"Tb","0.66","387","Intercept",0,20.75,0.94,21.98,"2.5e-69",,,
"Tb","","","Realm",0,4.6,1.55,2.97,"0.0032",1,,
"Tb","","","Latitude:Marine",1,,,,"5.5e-124",1,5.29,133.32
"Tb","","","Latitude:Terrestrial",1,,,,"2.2e-22",,5.68,22.64
"TSM","0.29","387","Intercept",0,12.33,0.93,13.19,"6.4e-33",,,
"TSM","","","Realm",0,3.1,1.31,2.37,"0.018",1,,
"TSM","","","tmax_metric",0,-2.13,0.94,-2.27,"0.024",0.74,,
"TSM","","","Latitude:Marine",1,,,,"0.0001",1,3.42,6.88
"TSM","","","Latitude:Terrestrial",1,,,,"1.7e-10",,4.85,13.04
"TSMnoacc","0.3","387","Intercept",0,12.38,0.71,17.36,"5.4e-50",,,
"TSMnoacc","","","Realm",0,3.06,0.88,3.48,"0.00057",1,,
"TSMnoacc","","","tmax_metric",0,-2.59,0.9,-2.88,"0.0042",0.82,,
"TSMnoacc","","","Latitude:Marine",1,,,,"2.4e-07",1,3.54,10.62
"TSMnoacc","","","Latitude:Terrestrial",1,,,,"2.2e-14",,5,15.86
"TSMaccterm","0.37","351","Intercept",0,8.42,1.12,7.51,"5.3e-13",,,
"TSMaccterm","","","Realm",0,2.71,0.98,2.77,"0.0058",1,,
"TSMaccterm","","","tmax_metric",0,-2.35,0.92,-2.56,"0.011",0.8,,
"TSMaccterm","","","tmax_acc",0,0.2,0.04,5.4,"1.2e-07",1,,
"TSMaccterm","","","Latitude:Marine",1,,,,"2.1e-11",1,4.03,14.96
"TSMaccterm","","","Latitude:Terrestrial",1,,,,"3.7e-12",,4.79,16.02
"TSMARRbyspp","0.17","69","Intercept",0,12.45,1.59,7.85,"5.9e-11",,,
"TSMARRbyspp","","","Realm",0,2.57,1.72,1.49,"0.14",0.3,,
"TSMARRbyspp","","","tmax_metric",0,3.87,2.75,1.41,"0.16",0.24,,
"TSMARRbyspp","","","Latitude:Marine",1,,,,"0.0018",0.24,1,10.54
"TSMARRbyspp","","","Latitude:Terrestrial",1,,,,"0.55",,1,0.36
"TSM_marBTmore","0.25","387","Intercept",0,12.84,1.02,12.54,"2.3e-30",,,
"TSM_marBTmore","","","Realm",0,2.57,1.5,1.71,"0.087",1,,
"TSM_marBTmore","","","tmax_metric",0,-1.74,0.96,-1.81,"0.071",0.45,,
"TSM_marBTmore","","","Latitude:Marine",1,,,,"0.00039",1,3.17,6.16
"TSM_marBTmore","","","Latitude:Terrestrial",1,,,,"2.7e-10",,4.88,12.57
"TSM_marBTless","0.33","387","Intercept",0,11.74,0.74,15.83,"1.3e-43",,,
"TSM_marBTless","","","Realm",0,3.47,0.82,4.23,"3e-05",1,,
"TSM_marBTless","","","tmax_metric",0,-2.71,0.86,-3.15,"0.0018",0.89,,
"TSM_marBTless","","","Latitude:Marine",1,,,,"1.1e-06",1,3.82,9.02
"TSM_marBTless","","","Latitude:Terrestrial",1,,,,"7.5e-13",,4.72,16.85
